Season,League,club_code,club_name,Expenditure,Income
18/19,GB1,manchester-city,Manchester City,78590000.0,57600000.0
18/19,GB1,manchester-united,Manchester United,82700000.0,30550000.0
18/19,GB1,tottenham-hotspur,Tottenham Hotspur,0.0,5350000.0
18/19,GB1,fc-liverpool,Liverpool FC,182200000.0,41320000.0
18/19,GB1,fc-chelsea,Chelsea FC,208800000.0,83250000.0
18/19,GB1,fc-arsenal,Arsenal FC,80150000.0,9100000.0
18/19,GB1,fc-burnley,Burnley FC,33000000.0,8000000.0
18/19,GB1,fc-everton,Everton FC,99800000.0,28650000.0
18/19,GB1,leicester-city,Leicester City,114600000.0,95800000.0
18/19,GB1,newcastle-united,Newcastle United,59750000.0,51050000.0
18/19,GB1,crystal-palace,Crystal Palace,11850000.0,350000000.0
18/19,GB1,afc-bournemouth,AFC Bournemouth,91600000.0,20200000.0
18/19,GB1,west-ham-united,West Ham United,100900000.0,13770000.0
18/19,GB1,fc-watford,Watford FC,30100000.0,51840000.0
18/19,GB1,brighton-amp-hove-albion,Brighton & Hove Albion,90620000.0,13620000.0
18/19,GB1,huddersfield-town,Huddersfield Town,50700000.0,12330000.0
18/19,GB1,fc-southampton,Southampton FC,62250000.0,26100000.0
18/19,GB1,wolverhampton-wanderers,Wolverhampton Wanderers,112750000.0,23300000.0
18/19,GB1,cardiff-city,Cardiff City,51200000.0,0.0
18/19,GB1,fc-fulham,Fulham FC,116500000.0,5350000.0
19/20,GB1,manchester-city,Manchester City,169820000.0,71000000.0
19/20,GB1,fc-liverpool,Liverpool FC,10400000.0,48000000.0
19/20,GB1,fc-chelsea,Chelsea FC,45000000.0,157270000.0
19/20,GB1,tottenham-hotspur,Tottenham Hotspur,150500000.0,64500000.0
19/20,GB1,fc-arsenal,Arsenal FC,160800000.0,53650000.0
19/20,GB1,manchester-united,Manchester United,236800000.0,81180000.0
19/20,GB1,wolverhampton-wanderers,Wolverhampton Wanderers,116700000.0,24100000.0
19/20,GB1,fc-everton,Everton FC,121000000.0,87800000.0
19/20,GB1,leicester-city,Leicester City,104300000.0,88500000.0
19/20,GB1,west-ham-united,West Ham United,119800000.0,55730000.0
19/20,GB1,fc-watford,Watford FC,56000000.0,25400000.0
19/20,GB1,crystal-palace,Crystal Palace,7600000.0,55380000.0
19/20,GB1,newcastle-united,Newcastle United,72400000.0,35640000.0
19/20,GB1,afc-bournemouth,AFC Bournemouth,54910000.0,34630000.0
19/20,GB1,fc-burnley,Burnley FC,23850000.0,13550000.0
19/20,GB1,fc-southampton,Southampton FC,61500000.0,27300000.0
19/20,GB1,brighton-amp-hove-albion,Brighton & Hove Albion,61740000.0,8500000.0
19/20,GB1,norwich-city,Norwich City,8820000.0,2200000.0
19/20,GB1,sheffield-united,Sheffield United,72500000.0,350000000.0
19/20,GB1,aston-villa,Aston Villa,159500000.0,3000000.0
20/21,GB1,fc-arsenal,Arsenal FC,86000000.0,19150000.0
20/21,GB1,aston-villa,Aston Villa,101350000.0,2770000.0
20/21,GB1,brighton-amp-hove-albion,Brighton & Hove Albion,50100000.0,20600000.0
20/21,GB1,fc-burnley,Burnley FC,1100000.0,2300000.0
20/21,GB1,fc-chelsea,Chelsea FC,247200000.0,57150000.0
20/21,GB1,crystal-palace,Crystal Palace,22400000.0,20000000.0
20/21,GB1,fc-everton,Everton FC,74370000.0,4430000.0
20/21,GB1,fc-fulham,Fulham FC,37250000.0,0.0
20/21,GB1,leeds-united,Leeds United,127800000.0,0.0
20/21,GB1,leicester-city,Leicester City,59400000.0,53770000.0
20/21,GB1,fc-liverpool,Liverpool FC,84050000.0,17200000.0
20/21,GB1,manchester-city,Manchester City,173400000.0,64000000.0
20/21,GB1,manchester-united,Manchester United,83800000.0,19500000.0
20/21,GB1,newcastle-united,Newcastle United,38750000.0,275000000.0
20/21,GB1,sheffield-united,Sheffield United,62700000.0,0.0
20/21,GB1,fc-southampton,Southampton FC,37300000.0,26300000.0
20/21,GB1,tottenham-hotspur,Tottenham Hotspur,110500000.0,13300000.0
20/21,GB1,west-bromwich-albion,West Bromwich Albion,42140000.0,8100000.0
20/21,GB1,west-ham-united,West Ham United,54700000.0,45410000.0
20/21,GB1,wolverhampton-wanderers,Wolverhampton Wanderers,87590000.0,79200000.0
21/22,GB1,fc-arsenal,Arsenal FC,167400000.0,31400000.0
21/22,GB1,aston-villa,Aston Villa,129800000.0,127000000.0
21/22,GB1,fc-brentford,Brentford FC,38200000.0,1000000.0
21/22,GB1,brighton-amp-hove-albion,Brighton & Hove Albion,75000000.0,78800000.0
21/22,GB1,fc-burnley,Burnley FC,49400000.0,40500000.0
21/22,GB1,fc-chelsea,Chelsea FC,118000000.0,154690000.0
21/22,GB1,crystal-palace,Crystal Palace,85620000.0,0.0
21/22,GB1,fc-everton,Everton FC,39500000.0,46000000.0
21/22,GB1,leeds-united,Leeds United,59300000.0,0.0
21/22,GB1,leicester-city,Leicester City,67600000.0,4000000.0
21/22,GB1,fc-liverpool,Liverpool FC,87000000.0,29550000.0
21/22,GB1,manchester-city,Manchester City,138900000.0,93800000.0
21/22,GB1,manchester-united,Manchester United,142000000.0,31100000.0
21/22,GB1,newcastle-united,Newcastle United,130500000.0,0.0
21/22,GB1,norwich-city,Norwich City,63550000.0,38400000.0
21/22,GB1,fc-southampton,Southampton FC,63400000.0,60350000.0
21/22,GB1,tottenham-hotspur,Tottenham Hotspur,95900000.0,34620000.0
21/22,GB1,fc-watford,Watford FC,43500000.0,12850000.0
21/22,GB1,west-ham-united,West Ham United,74500000.0,4240000.0
21/22,GB1,wolverhampton-wanderers,Wolverhampton Wanderers,37600000.0,31800000.0
22/23,GB1,fc-arsenal,Arsenal FC,186400000.0,23800000.0
22/23,GB1,aston-villa,Aston Villa,100140000.0,54000000.0
22/23,GB1,afc-bournemouth,AFC Bournemouth,83100000.0,0.0
22/23,GB1,fc-brentford,Brentford FC,49250000.0,3600000.0
22/23,GB1,brighton-amp-hove-albion,Brighton & Hove Albion,55700000.0,138400000.0
22/23,GB1,fc-chelsea,Chelsea FC,630350000.0,67860000.0
22/23,GB1,crystal-palace,Crystal Palace,46600000.0,5460000.0
22/23,GB1,fc-everton,Everton FC,78200000.0,103600000.0
22/23,GB1,fc-fulham,Fulham FC,72200000.0,21900000.0
22/23,GB1,leeds-united,Leeds United,157390000.0,114500000.0
22/23,GB1,leicester-city,Leicester City,49000000.0,81400000.0
22/23,GB1,fc-liverpool,Liverpool FC,142300000.0,80700000.0
22/23,GB1,manchester-city,Manchester City,155000000.0,162170000.0
22/23,GB1,manchester-united,Manchester United,243280000.0,23650000.0
22/23,GB1,newcastle-united,Newcastle United,185350000.0,14060000.0
22/23,GB1,nottingham-forest,Nottingham Forest,194550000.0,5000000.0
22/23,GB1,fc-southampton,Southampton FC,152110000.0,5500000.0
22/23,GB1,tottenham-hotspur,Tottenham Hotspur,179900000.0,38750000.0
22/23,GB1,west-ham-united,West Ham United,186600000.0,21550000.0
22/23,GB1,wolverhampton-wanderers,Wolverhampton Wanderers,177110000.0,62870000.0
18/19,ES1,athletic-bilbao,Athletic Bilbao,32900000.0,80000000.0
18/19,ES1,atletico-madrid,Atlético de Madrid,168000000.0,57900000.0
18/19,ES1,cd-leganes,CD Leganés,18900000.0,24600000.0
18/19,ES1,deportivo-alaves,Deportivo Alavés,10000000.0,9000000.0
18/19,ES1,fc-barcelona,FC Barcelona,141100000.0,146050000.0
18/19,ES1,fc-getafe,Getafe CF,27250000.0,5000000.0
18/19,ES1,fc-girona,Girona FC,10200000.0,3300000.0
18/19,ES1,ud-levante,Levante UD,26700000.0,41500000.0
18/19,ES1,celta-vigo,Celta de Vigo,30000000.0,35700000.0
18/19,ES1,espanyol-barcelona,RCD Espanyol Barcelona,22100000.0,30800000.0
18/19,ES1,real-betis-sevilla,Real Betis Balompié,47000000.0,49300000.0
18/19,ES1,real-madrid,Real Madrid,164750000.0,136100000.0
18/19,ES1,real-sociedad-san-sebastian,Real Sociedad,12000000.0,32800000.0
18/19,ES1,sd-eibar,SD Eibar,8000000.0,7750000.0
18/19,ES1,fc-sevilla,Sevilla FC,81050000.0,93800000.0
18/19,ES1,fc-valencia,Valencia CF,129200000.0,68800000.0
18/19,ES1,fc-villarreal,Villarreal CF,92900000.0,54800000.0
18/19,ES1,sd-huesca,SD Huesca,9000000.0,400000000.0
18/19,ES1,rayo-vallecano,Rayo Vallecano,12300000.0,13000000.0
18/19,ES1,real-valladolid,Real Valladolid CF,10100000.0,0.0
19/20,ES1,fc-barcelona,FC Barcelona,303000000.0,154400000.0
19/20,ES1,atletico-madrid,Atlético de Madrid,247350000.0,316300000.0
19/20,ES1,real-madrid,Real Madrid,355500000.0,136800000.0
19/20,ES1,fc-getafe,Getafe CF,21500000.0,11250000.0
19/20,ES1,fc-valencia,Valencia CF,75000000.0,56300000.0
19/20,ES1,fc-sevilla,Sevilla FC,188730000.0,131400000.0
19/20,ES1,athletic-bilbao,Athletic Bilbao,0.0,0.0
19/20,ES1,real-sociedad-san-sebastian,Real Sociedad,31750000.0,9500000.0
19/20,ES1,espanyol-barcelona,RCD Espanyol Barcelona,61500000.0,61000000.0
19/20,ES1,deportivo-alaves,Deportivo Alavés,11770000.0,22500000.0
19/20,ES1,sd-eibar,SD Eibar,17300000.0,27000000.0
19/20,ES1,cd-leganes,CD Leganés,16399999.999999998,40820000.0
19/20,ES1,real-betis-sevilla,Real Betis Balompié,96450000.0,72000000.0
19/20,ES1,fc-villarreal,Villarreal CF,43800000.0,69300000.0
19/20,ES1,ud-levante,Levante UD,14600000.0,14900000.0
19/20,ES1,real-valladolid,Real Valladolid CF,1400000.0,8000000.0
19/20,ES1,celta-vigo,Celta de Vigo,24600000.0,42650000.0
19/20,ES1,ca-osasuna,CA Osasuna,14450000.0,300000000.0
19/20,ES1,fc-granada,Granada CF,11240000.0,300000000.0
19/20,ES1,rcd-mallorca,RCD Mallorca,7500000.0,0.0
20/21,ES1,real-madrid,Real Madrid,0.0,108200000.0
20/21,ES1,fc-barcelona,FC Barcelona,111940000.0,154400000.0
20/21,ES1,atletico-madrid,Atlético de Madrid,92000000.0,83300000.0
20/21,ES1,fc-sevilla,Sevilla FC,74350000.0,19680000.0
20/21,ES1,fc-villarreal,Villarreal CF,36500000.0,26650000.0
20/21,ES1,fc-getafe,Getafe CF,22050000.0,9750000.0
20/21,ES1,real-sociedad-san-sebastian,Real Sociedad,10000000.0,28250000.0
20/21,ES1,fc-valencia,Valencia CF,50000000.0,88850000.0
20/21,ES1,athletic-bilbao,Athletic Bilbao,12000000.0,0.0
20/21,ES1,fc-granada,Granada CF,20500000.0,0.0
20/21,ES1,ca-osasuna,CA Osasuna,9150000.0,3450000.0
20/21,ES1,ud-levante,Levante UD,8000000.0,5000000.0
20/21,ES1,real-betis-sevilla,Real Betis Balompié,0.0,43700000.0
20/21,ES1,real-valladolid,Real Valladolid CF,9850000.0,12100000.0
20/21,ES1,fc-cadiz,Cádiz CF,10100000.0,0.0
20/21,ES1,sd-eibar,SD Eibar,2000000.0,150000000.0
20/21,ES1,deportivo-alaves,Deportivo Alavés,0.0,4880000.0
20/21,ES1,sd-huesca,SD Huesca,4650000.0,0.0
20/21,ES1,celta-vigo,Celta de Vigo,3000000.0,2500000.0
20/21,ES1,fc-elche,Elche CF,6100000.0,7300000.0
21/22,ES1,atletico-madrid,Atlético de Madrid,85700000.0,22750000.0
21/22,ES1,fc-barcelona,FC Barcelona,69500000.0,70760000.0
21/22,ES1,real-madrid,Real Madrid,31000000.0,78000000.0
21/22,ES1,fc-sevilla,Sevilla FC,41500000.0,28500000.0
21/22,ES1,real-sociedad-san-sebastian,Real Sociedad,2500000.0,0.0
21/22,ES1,fc-villarreal,Villarreal CF,54500000.0,10340000.0
21/22,ES1,real-betis-sevilla,Real Betis Balompié,3250000.0,14000000.0
21/22,ES1,athletic-bilbao,Athletic Bilbao,0.0,0.0
21/22,ES1,fc-granada,Granada CF,17450000.0,3000000.0
21/22,ES1,celta-vigo,Celta de Vigo,10020000.0,1800000.0
21/22,ES1,fc-cadiz,Cádiz CF,6100000.0,0.0
21/22,ES1,espanyol-barcelona,RCD Espanyol Barcelona,6000000.0,0.0
21/22,ES1,ca-osasuna,CA Osasuna,8700000.0,0.0
21/22,ES1,ud-levante,Levante UD,875000000.0,0.0
21/22,ES1,fc-valencia,Valencia CF,13350000.0,2700000.0
21/22,ES1,fc-getafe,Getafe CF,15160000.0,21000000.0
21/22,ES1,deportivo-alaves,Deportivo Alavés,1600000.0,3500000.0
21/22,ES1,fc-elche,Elche CF,8199999.999999999,200000000.0
21/22,ES1,rcd-mallorca,RCD Mallorca,10000000.0,9000000.0
21/22,ES1,rayo-vallecano,Rayo Vallecano,4300000.0,2200000.0
22/23,ES1,real-madrid,Real Madrid,80000000.0,92150000.0
22/23,ES1,fc-barcelona,FC Barcelona,158000000.0,39500000.0
22/23,ES1,fc-sevilla,Sevilla FC,30400000.0,91500000.0
22/23,ES1,atletico-madrid,Atlético de Madrid,29500000.0,28250000.0
22/23,ES1,real-sociedad-san-sebastian,Real Sociedad,55000000.0,80500000.0
22/23,ES1,real-betis-sevilla,Real Betis Balompié,27400000.0,14750000.0
22/23,ES1,fc-villarreal,Villarreal CF,6480000.0,31600000.0
22/23,ES1,athletic-bilbao,Athletic Bilbao,0.0,0.0
22/23,ES1,fc-valencia,Valencia CF,12500000.0,54600000.0
22/23,ES1,ca-osasuna,CA Osasuna,2000000.0,250000000.0
22/23,ES1,fc-elche,Elche CF,13160000.0,9400000.0
22/23,ES1,celta-vigo,Celta de Vigo,22350000.0,17200000.0
22/23,ES1,espanyol-barcelona,RCD Espanyol Barcelona,20600000.0,17800000.0
22/23,ES1,rayo-vallecano,Rayo Vallecano,14300000.0,200000000.0
22/23,ES1,fc-getafe,Getafe CF,15750000.0,20500000.0
22/23,ES1,rcd-mallorca,RCD Mallorca,13420000.0,5300000.0
22/23,ES1,fc-cadiz,Cádiz CF,11500000.0,1000000.0
22/23,ES1,ud-almeria,UD Almería,37080000.0,22200000.0
22/23,ES1,real-valladolid,Real Valladolid CF,12300000.0,1300000.0
22/23,ES1,fc-girona,Girona FC,15000000.0,750000000.0
18/19,L1,fc-bayern-munchen,Bayern Munich,14000000.0,84000000.0
18/19,L1,fc-schalke-04,FC Schalke 04,62200000.0,46150000.0
18/19,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,32000000.0,6120000.0
18/19,L1,borussia-dortmund,Borussia Dortmund,90500000.0,114200000.0
18/19,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,31500000.0,45000000.0
18/19,L1,rasenballsport-leipzig,RB Leipzig,65629999.99999999,72750000.0
18/19,L1,vfb-stuttgart,VfB Stuttgart,45760000.0,13250000.0
18/19,L1,eintracht-frankfurt,Eintracht Frankfurt,28950000.0,18900000.0
18/19,L1,borussia-monchengladbach,Borussia Mönchengladbach,32550000.0,32950000.000000004
18/19,L1,hertha-bsc,Hertha BSC,16000000.0,16900000.0
18/19,L1,sv-werder-bremen,SV Werder Bremen,25800000.0,26850000.0
18/19,L1,fc-augsburg,FC Augsburg,6650000.0,2850000.0
18/19,L1,hannover-96,Hannover 96,18520000.0,13540000.0
18/19,L1,1-fsv-mainz-05,1.FSV Mainz 05,30000000.0,56100000.0
18/19,L1,sc-freiburg,SC Freiburg,18400000.0,22680000.0
18/19,L1,vfl-wolfsburg,VfL Wolfsburg,36000000.0,800000000.0
18/19,L1,fortuna-dusseldorf,Fortuna Düsseldorf,7500000.0,600000000.0
18/19,L1,1-fc-nurnberg,1.FC Nuremberg,4850000.0,0.0
19/20,L1,fc-bayern-munchen,Bayern Munich,139500000.0,54000000.0
19/20,L1,borussia-dortmund,Borussia Dortmund,148500000.0,132250000.0
19/20,L1,rasenballsport-leipzig,RB Leipzig,93000000.0,45250000.0
19/20,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,99700000.0,33500000.0
19/20,L1,borussia-monchengladbach,Borussia Mönchengladbach,40500000.0,34100000.0
19/20,L1,vfl-wolfsburg,VfL Wolfsburg,34800000.0,14300000.0
19/20,L1,eintracht-frankfurt,Eintracht Frankfurt,82640000.0,114800000.0
19/20,L1,sv-werder-bremen,SV Werder Bremen,13950000.0,0.0
19/20,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,54850000.0,122400000.0
19/20,L1,fortuna-dusseldorf,Fortuna Düsseldorf,11150000.0,11600000.0
19/20,L1,hertha-bsc,Hertha BSC,110700000.0,23450000.0
19/20,L1,1-fsv-mainz-05,1.FSV Mainz 05,30700000.0,27000000.0
19/20,L1,sc-freiburg,SC Freiburg,17500000.0,8100000.0
19/20,L1,fc-schalke-04,FC Schalke 04,29500000.0,19450000.0
19/20,L1,fc-augsburg,FC Augsburg,33000000.0,20000000.0
19/20,L1,1-fc-koln,1.FC Köln,20250000.0,6850000.0
19/20,L1,sc-paderborn-07,SC Paderborn 07,750000000.0,5800000.0
19/20,L1,1-fc-union-berlin,1.FC Union Berlin,10050000.0,1250000.0
20/21,L1,fc-bayern-munchen,Bayern Munich,66000000.0,22250000.0
20/21,L1,borussia-dortmund,Borussia Dortmund,55150000.0,5500000.0
20/21,L1,rasenballsport-leipzig,RB Leipzig,72000000.0,77500000.0
20/21,L1,borussia-monchengladbach,Borussia Mönchengladbach,13500000.0,0.0
20/21,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,46200000.0,91000000.0
